Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Country	Continent	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG000303832	MAG	1588511	52	45097	40.48	95.71	1.06	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303833	MAG	1540548	116	21610	37.38	92.49	0.7	0	0	0	6	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus sp000758885
MGYG000303834	MAG	3909356	45	167230	38.67	99.46	0	0	0	0	18	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis
MGYG000303835	MAG	1624413	69	39015	35.82	93.65	0.6	0	0	0	15	USA	North America	Bacteria	Bacillota	Bacilli	Staphylococcales	Salinicoccaceae	Nosocomiicoccus	Nosocomiicoccus ampullae
MGYG000303836	MAG	1836370	47	56428	34.93	99.22	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
MGYG000303837	MAG	1308861	215	6944	51.12	57.89	0.24	0	0	0	17	USA	North America	Bacteria	Bacillota	Peptococcia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus niger
MGYG000303838	MAG	1182634	94	15655	42.9	90.3	1.61	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303839	MAG	738466	134	6092	26.98	64.7	0	0	0	0	16	USA	North America	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	UBA1997	CALXRO01	NA
MGYG000303840	MAG	1258649	16	256166	28.24	98.88	0	0	0	0	15	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000303841	MAG	1505121	236	7172	36.97	86.37	0	0	0	0	9	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella montpellierensis
MGYG000303842	MAG	3015449	297	14440	41.08	94.09	0.35	0	0	0	16	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella melaninogenica
MGYG000303843	MAG	1078652	44	40152	32.66	83.48	0.06	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	ZJ293	NA
MGYG000303844	MAG	2517016	210	16907	64.17	94.22	0.41	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	NA
MGYG000303845	MAG	1860680	47	75556	36.02	99.3	0	0	0	0	9	USA	North America	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius
MGYG000303846	MAG	1015140	13	186870	25.86	94.94	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Clostridia	TANB77	CAG-508	NA	NA
MGYG000303847	MAG	2612280	79	56679	47.8	99.29	0	0	0	0	19	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303848	MAG	1227896	96	20546	31.21	86.89	0.7	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Helcococcus	NA
MGYG000303849	MAG	2062362	162	18972	56.96	93.66	1.65	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	NA
MGYG000303850	MAG	2106545	104	46360	31.6	95.16	0.34	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303851	MAG	687724	9	379173	47.7	63.68	0	0	0	0	20	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	Nanoperiomorbus sp004136275
MGYG000303852	MAG	1485742	11	183377	42.64	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303853	MAG	2308644	155	19766	31.99	96.86	0.87	0	0	0	10	USA	North America	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
MGYG000303854	MAG	1540871	50	52303	25.63	96.19	0	0	0	0	14	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas sp001552895
MGYG000303855	MAG	1576753	49	52745	45.56	96.95	1.12	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303856	MAG	3767837	33	221042	38.96	100	0	0	0	0	18	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
MGYG000303857	MAG	1446675	45	59770	38.79	100	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera hutchinsoni
MGYG000303858	MAG	659432	15	94042	26.74	100	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis
MGYG000303859	MAG	2713990	59	104968	42.41	99.29	0	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000303860	MAG	610912	8	103703	28.41	98.08	0.38	0	0	0	20	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Malacoplasma	Malacoplasma girerdii
MGYG000303861	MAG	1706596	29	73632	34.46	99.3	0	0	0	0	13	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus vaginalis
MGYG000303862	MAG	2388749	56	66391	49.35	98.3	0.34	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000758925
MGYG000303863	MAG	2349204	73	52472	58.83	99.85	0.08	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
MGYG000303864	MAG	1027327	225	4746	45.98	65.28	0.66	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Bilifractor	NA
MGYG000303865	MAG	1977342	307	7645	59.67	87.14	1.17	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp900539985
MGYG000303866	MAG	1596639	28	89048	27.95	98.78	2.13	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus senegalensis
MGYG000303867	MAG	1612906	53	58932	33.73	99.3	0	0	0	0	9	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	NA
MGYG000303868	MAG	2550772	69	70575	58.81	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
MGYG000303869	MAG	1712906	327	5540	62.96	70.27	0.32	0	0	0	14	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	CAJPTP01	CAJPTP01 sp905373555
MGYG000303870	MAG	662833	121	6457	29.09	83.08	0.64	0	0	0	14	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Mycoplasmopsis	NA
MGYG000303871	MAG	1207058	61	28781	32.24	97.77	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000303872	MAG	1864375	26	93389	56.99	100	1.3	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia turicensis
MGYG000303873	MAG	1231485	141	11899	39.31	86.53	1.2	0	0	0	3	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Falseniella	Falseniella ignava
MGYG000303874	MAG	981853	204	5155	59.97	72.5	0.15	0	0	0	16	USA	North America	Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Jonquetella	Jonquetella anthropi
MGYG000303875	MAG	2254096	326	8405	45.94	84.35	0.36	0	0	0	16	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303876	MAG	1460541	19	212029	42.82	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303877	MAG	2089705	91	34463	37.86	94.82	0.18	0	0	0	15	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303878	MAG	1612296	233	8725	60	75.72	0.14	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinobaculum	Actinobaculum massiliense
MGYG000303879	MAG	1582817	13	250147	41.79	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000303880	MAG	1944473	36	79354	35.08	97.52	0.71	0	0	0	15	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
MGYG000303881	MAG	1573547	36	111393	29.93	99.3	0	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis
MGYG000303882	MAG	1733565	65	53600	34.75	99.3	0	0	0	0	14	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei
MGYG000303883	MAG	1820621	300	6852	60.77	81.74	0.63	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium riegelii
MGYG000303884	MAG	1995636	124	26944	36.62	99.03	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000303885	MAG	1607478	12	212402	46.44	98.99	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
MGYG000303886	MAG	1930108	56	54445	35.23	98.97	0	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella amnii
MGYG000303887	MAG	1258281	275	5009	55.7	59.8	1	0	0	0	12	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp001808555
MGYG000303888	MAG	1504779	26	79308	42.28	98.48	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000303889	MAG	2455688	97	38630	43.6	98.12	0.71	0	0	0	15	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp001553265
MGYG000303890	MAG	2235914	124	28139	46.02	93.62	0.12	0	0	0	16	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000479005
MGYG000303891	MAG	1640834	114	23349	29.49	92.99	1.49	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
MGYG000303892	MAG	1024421	47	41036	35.72	79.39	0	0	0	0	7	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Fenollaria	NA
MGYG000303893	MAG	1311592	32	62718	30.16	95.24	0	0	0	0	18	USA	North America	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	NA
MGYG000303894	MAG	1611707	43	59879	29.26	92.36	0.32	0	0	0	16	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	CAKAHY01	NA
MGYG000303895	MAG	1005587	59	71523	34.36	62.07	0	0	0	0	12	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mulieris
MGYG000303896	MAG	1264431	64	33525	35.13	98.58	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister micraerophilus
MGYG000303897	MAG	1472063	103	19909	31.02	88.46	0.7	0	0	0	8	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	NA
MGYG000303898	MAG	1757520	25	108331	35.88	94.76	0.24	0	0	0	19	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	NA
MGYG000303899	MAG	1477310	113	19432	28.57	96.65	0	0	0	0	13	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas parva
MGYG000303900	MAG	1232848	125	12698	42.5	92.71	0.2	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303901	MAG	847193	186	4806	39.33	58.73	1.45	0	0	0	10	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000303902	MAG	1665077	129	19405	46.26	96.74	0.7	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus coxii
MGYG000303903	MAG	1643984	28	83567	41.26	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303904	MAG	1701255	56	41450	42.62	96.08	0.31	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp001552775
MGYG000303905	MAG	1626200	45	57763	38.92	97.71	0	0	0	0	18	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii
MGYG000303906	MAG	744401	173	4525	35.72	59.65	0.6	0	0	0	8	USA	North America	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
MGYG000303907	MAG	1615049	38	90618	36	96.74	0	0	0	0	15	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Ezakiella	Ezakiella coagulans
MGYG000303908	MAG	1389791	204	8083	28.97	80.26	3.35	0	0	0	8	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus vaginalis
MGYG000303909	MAG	1208890	70	28448	38.38	64.92	0	0	0	0	15	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Ezakiella	Ezakiella massiliensis
MGYG000303910	MAG	2289580	53	70792	46.31	99.36	0.48	0	0	0	20	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Oligella	Oligella urethralis
MGYG000303911	MAG	3085383	122	48778	42.59	99.29	0	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000303912	MAG	1239459	124	15510	34.47	87.65	0.12	0	0	0	10	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Fenollaria	Fenollaria massiliensis
MGYG000303913	MAG	1284986	8	343987	32.49	99.41	0.44	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000303914	MAG	711798	28	36153	25.24	99.05	0	0	0	0	20	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma	Ureaplasma parvum
MGYG000303915	MAG	2022299	13	1128618	34.7	99.22	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paragasseri
MGYG000303916	MAG	1715878	43	58895	34.2	98.66	0.32	0	0	0	12	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
MGYG000303917	MAG	1312184	20	138012	32.32	99.41	0.44	0	0	0	17	Denmark	Europe	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000303918	MAG	1413886	32	85605	42.35	88.53	0	0	0	0	20	Denmark	Europe	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000303919	MAG	1446731	15	182508	42.16	98.63	0.46	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000303920	MAG	1527680	15	124765	31.33	76.21	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp005465875
MGYG000303921	MAG	1383794	39	48767	39.11	88.89	0.35	0	0	0	20	Denmark	Europe	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp001552885
MGYG000303922	MAG	2764583	105	45122	47.57	99.29	0.36	0	0	0	18	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303923	MAG	1654143	155	13754	30.79	89.66	0.62	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303924	MAG	2299040	49	62620	49.31	97.96	0.34	0	0	0	18	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000758925
MGYG000303925	MAG	661471	13	88499	26.87	100	0.38	0	99.67	99.62	20	Denmark	Europe	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis
MGYG000303926	MAG	1547966	26	126029	46.51	98.99	0.67	0	0	0	20	Denmark	Europe	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
MGYG000303927	MAG	1418432	105	17724	46.99	98.38	1.15	0	0	0	17	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000303928	MAG	1700718	24	145697	44.52	93.74	0.71	0	23.03	0	20	Denmark	Europe	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Mageeibacillus	Mageeibacillus indolicus
MGYG000303929	MAG	1558054	151	14147	41.67	94.86	0.68	0	99.61	18.53	19	Denmark	Europe	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303930	MAG	2180627	68	52407	39.17	96.96	0	0	0	0	18	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens
MGYG000303931	MAG	1179558	168	8690	37.47	74.04	0.88	0	0	0	15	Denmark	Europe	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303932	MAG	1804901	296	6838	52.45	83.02	0.36	92.44	0	97.26	19	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas uenonis
MGYG000303933	MAG	1757174	102	26403	36.89	98.98	0.72	0	0	0	13	Denmark	Europe	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella montpellierensis
MGYG000303934	MAG	2676706	112	37467	47.77	98.1	0.95	0	0	0	19	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303935	MAG	1318665	39	69734	26.8	98.88	0.16	0	0	0	11	Denmark	Europe	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia sanguinegens
MGYG000303936	MAG	1324290	17	103308	48.89	93.15	0.81	0	0	0	19	Denmark	Europe	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000303937	MAG	1157308	116	13902	35.28	94.5	0	0	0	0	18	Denmark	Europe	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister micraerophilus
MGYG000303938	MAG	2238540	144	19611	47.19	97.99	0.34	0	0	0	18	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella colorans
MGYG000303939	MAG	1426333	18	139038	42.57	99.19	0	0	0	0	20	Denmark	Europe	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303940	MAG	1589103	18	106846	46.59	100	0	0	0	0	19	Denmark	Europe	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000303941	MAG	1587070	11	198138	31.09	76.21	0	0	0	0	19	Denmark	Europe	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp005465875
MGYG000303942	MAG	1266899	21	159957	28.29	98.88	0	0	0	0	19	Denmark	Europe	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000303943	MAG	1357434	96	23396	42.29	89.8	0.45	0	0	0	15	Denmark	Europe	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000303944	MAG	1525850	17	147621	42.64	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303945	MAG	1450210	29	93790	42.42	95.87	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000303946	MAG	2110058	46	51776	39.19	99.32	0	94.96	0	10.77	19	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia
MGYG000303947	MAG	2775239	50	120228	42.34	99.29	0	0	0	0	19	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000303948	MAG	1942580	144	17893	36.96	96.82	0.09	0	0	0	15	Denmark	Europe	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000303949	MAG	1925965	120	27064	36.86	97.73	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000303950	MAG	1614807	9	367580	41.85	100	0	0	0	0	20	Denmark	Europe	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000303951	MAG	1947050	51	60499	35.4	96.96	0	0	0	0	19	Denmark	Europe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella amnii
MGYG000303952	MAG	1596542	42	56039	39.02	96.75	0	0	0	0	17	Denmark	Europe	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000303953	MAG	1584754	3	1010426	41.93	100	0.09	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium swidsinskii
MGYG000303954	MAG	1940697	6	577607	34.62	99.22	0.06	0	0	0	11	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paragasseri
MGYG000303955	MAG	2059552	16	276031	51.96	96.62	0.63	0	0	0	20	China	Asia	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	Stomatobaculum sp002892395
MGYG000303956	MAG	1613609	33	141757	42.36	94.85	0	0	0	0	18	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp900541485
MGYG000303957	MAG	1839656	30	100817	34.79	99.22	0	0	0	0	12	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
MGYG000303958	MAG	1788916	84	39382	36.19	100	0	85.71	0	0	16	China	Asia	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius
MGYG000303959	MAG	1398599	148	13805	37.88	89.72	1	0	0	0	16	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303960	MAG	1177012	179	7797	31.1	83.73	0.83	0	0	0	10	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	NA
MGYG000303961	MAG	1619217	7	400438	46.13	98.99	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
MGYG000303962	MAG	1631494	14	838209	34.79	99.3	0.7	0	0	0	18	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	KA00134	KA00134 sp001574395
MGYG000303963	MAG	1495533	107	22388	49.05	97.49	0.81	93.28	0	10.87	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium minutum
MGYG000303964	MAG	1496492	270	6196	62.49	70.91	0	0	0	0	15	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia exigua
MGYG000303965	MAG	1307748	12	203032	32.58	99.41	0.44	0	0	0	17	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000303966	MAG	1665521	17	170289	38.93	100	0	0	0	0	20	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera hutchinsoni
