Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000303862	MAG	2388749	56	66391	49.35	98.3	0.34	0.00	0.00	0.00	17	CAMQAR01	MGYG000303862	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000758925	SAMEA111388638	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303862/genomes1/MGYG000303862.gff.gz
MGYG000303863	MAG	2349204	73	52472	58.83	99.85	0.08	0.00	0.00	0.00	19	CAMQAT01	MGYG000304108	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve	SAMEA111388635	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304108/genomes1/MGYG000303863.gff.gz
MGYG000303864	MAG	1027327	225	4746	45.98	65.28	0.66	0.00	0.00	0.00	12	CAMQAU01	MGYG000303864	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bilifractor;s__	SAMEA111388633	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303864/genomes1/MGYG000303864.gff.gz
MGYG000303865	MAG	1977342	307	7645	59.67	87.14	1.17	0.00	0.00	0.00	19	CAMQAW01	MGYG000304120	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp900539985	SAMEA111388643	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304120/genomes1/MGYG000303865.gff.gz
MGYG000303866	MAG	1596639	28	89048	27.95	98.78	2.13	0.00	0.00	0.00	10	CAMQAX01	MGYG000303866	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus senegalensis	SAMEA111388641	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303866/genomes1/MGYG000303866.gff.gz
MGYG000303867	MAG	1612906	53	58932	33.73	99.3	0.0	0.00	0.00	0.00	9	CAMQAY01	MGYG000303867	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__	SAMEA111388703	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303867/genomes1/MGYG000303867.gff.gz
MGYG000303868	MAG	2550772	69	70575	58.81	100	0.0	0.00	0.00	0.00	20	CAMQAZ01	MGYG000303868	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SAMEA111388626	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303868/genomes1/MGYG000303868.gff.gz
MGYG000303869	MAG	1712906	327	5540	62.96	70.27	0.32	0.00	0.00	0.00	14	CAMQBA01	MGYG000304005	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__CAJPTP01;s__CAJPTP01 sp905373555	SAMEA111388696	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304005/genomes1/MGYG000303869.gff.gz
MGYG000303870	MAG	662833	121	6457	29.09	83.08	0.64	0.00	0.00	0.00	14	CAMQBE01	MGYG000303870	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Mycoplasmopsis;s__	SAMEA111388621	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303870/genomes1/MGYG000303870.gff.gz
MGYG000303871	MAG	1207058	61	28781	32.24	97.77	0.0	0.00	0.00	0.00	17	CAMQBG01	MGYG000304057	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SAMEA111388695	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304057/genomes1/MGYG000303871.gff.gz
MGYG000303872	MAG	1864375	26	93389	56.99	100	1.3	0.00	0.00	0.00	19	CAMQBH01	MGYG000304244	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis	SAMEA111388630	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304244/genomes1/MGYG000303872.gff.gz
MGYG000303873	MAG	1231485	141	11899	39.31	86.53	1.2	0.00	0.00	0.00	3	CAMQBI01	MGYG000303873	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Falseniella;s__Falseniella ignava	SAMEA111388704	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303873/genomes1/MGYG000303873.gff.gz
MGYG000303874	MAG	981853	204	5155	59.97	72.5	0.15	0.00	0.00	0.00	16	CAMQBN01	MGYG000304175	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Jonquetella;s__Jonquetella anthropi	SAMEA111388718	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304175/genomes1/MGYG000303874.gff.gz
MGYG000303875	MAG	2254096	326	8405	45.94	84.35	0.36	0.00	0.00	0.00	16	CAMQBP01	MGYG000303875	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111388699	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303875/genomes1/MGYG000303875.gff.gz
MGYG000303876	MAG	1460541	19	212029	42.82	100	0.0	0.00	0.00	0.00	20	CAMQBQ01	MGYG000304068	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae	SAMEA111388672	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304068/genomes1/MGYG000303876.gff.gz
MGYG000303877	MAG	2089705	91	34463	37.86	94.82	0.18	0.00	0.00	0.00	15	CAMQBR01	MGYG000303877	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111388677	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303877/genomes1/MGYG000303877.gff.gz
MGYG000303878	MAG	1612296	233	8725	60.0	75.72	0.14	0.00	0.00	0.00	19	CAMQBS01	MGYG000303878	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense	SAMEA111388715	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303878/genomes1/MGYG000303878.gff.gz
MGYG000303879	MAG	1582817	13	250147	41.79	100	0.0	0.00	0.00	0.00	20	CAMQBT01	MGYG000304218	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii	SAMEA111388665	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304218/genomes1/MGYG000303879.gff.gz
MGYG000303880	MAG	1944473	36	79354	35.08	97.52	0.71	0.00	0.00	0.00	15	CAMQBU01	MGYG000304230	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	SAMEA111388659	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304230/genomes1/MGYG000303880.gff.gz
MGYG000303881	MAG	1573547	36	111393	29.93	99.3	0.0	0.00	0.00	0.00	12	CAMQBV01	MGYG000304019	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis	SAMEA111388649	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304019/genomes1/MGYG000303881.gff.gz
MGYG000303882	MAG	1733565	65	53600	34.75	99.3	0.0	0.00	0.00	0.00	14	CAMQBW01	MGYG000303882	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A	SAMEA111388670	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303882/genomes1/MGYG000303882.gff.gz
MGYG000303883	MAG	1820621	300	6852	60.77	81.74	0.63	0.00	0.00	0.00	16	CAMQBZ01	MGYG000304152	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium riegelii	SAMEA111388698	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304152/genomes1/MGYG000303883.gff.gz
MGYG000303884	MAG	1995636	124	26944	36.62	99.03	0.0	0.00	0.00	0.00	17	CAMQCD01	MGYG000303884	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	SAMEA111388717	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303884/genomes1/MGYG000303884.gff.gz
MGYG000303885	MAG	1607478	12	212402	46.44	98.99	0.0	0.00	0.00	0.00	20	CAMQCE01	MGYG000303961	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella sp001552935	SAMEA111388722	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303961/genomes1/MGYG000303885.gff.gz
MGYG000303886	MAG	1930108	56	54445	35.23	98.97	0.0	0.00	0.00	0.00	17	CAMQCF01	MGYG000303750	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii	SAMEA111388669	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303750/genomes1/MGYG000303886.gff.gz
MGYG000303887	MAG	1258281	275	5009	55.7	59.8	1.0	0.00	0.00	0.00	12	CAMQCH01	MGYG000304264	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	SAMEA111388700	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304264/genomes1/MGYG000303887.gff.gz
MGYG000303888	MAG	1504779	26	79308	42.28	98.48	0.0	0.00	0.00	0.00	20	CAMQCK01	MGYG000303994	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	SAMEA111388688	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303994/genomes1/MGYG000303888.gff.gz
MGYG000303889	MAG	2455688	97	38630	43.6	98.12	0.71	0.00	0.00	0.00	15	CAMQCL01	MGYG000303889	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp001553265	SAMEA111388728	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303889/genomes1/MGYG000303889.gff.gz
MGYG000303890	MAG	2235914	124	28139	46.02	93.62	0.12	0.00	0.00	0.00	16	CAMQCM01	MGYG000303757	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000479005	SAMEA111388691	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303757/genomes1/MGYG000303890.gff.gz
MGYG000303891	MAG	1640834	114	23349	29.49	92.99	1.49	0.00	0.00	0.00	10	CAMQCN01	MGYG000303891	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus hydrogenalis	SAMEA111388725	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303891/genomes1/MGYG000303891.gff.gz
MGYG000303892	MAG	1024421	47	41036	35.72	79.39	0.0	0.00	0.00	0.00	7	CAMQCO01	MGYG000304187	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__	SAMEA111388719	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304187/genomes1/MGYG000303892.gff.gz
MGYG000303893	MAG	1311592	32	62718	30.16	95.24	0.0	0.00	0.00	0.00	18	CAMQCS01	MGYG000303981	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__	SAMEA111388684	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303981/genomes1/MGYG000303893.gff.gz
MGYG000303894	MAG	1611707	43	59879	29.26	92.36	0.32	0.00	0.00	0.00	16	CAMQCZ01	MGYG000303894	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAKAHY01;s__	SAMEA111388740	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303894/genomes1/MGYG000303894.gff.gz
MGYG000303895	MAG	1005587	59	71523	34.36	62.07	0.0	0.00	0.00	0.00	12	CAMQDC01	MGYG000304205	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris	SAMEA111388736	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304205/genomes1/MGYG000303895.gff.gz
MGYG000303896	MAG	1264431	64	33525	35.13	98.58	0.0	0.00	0.00	0.00	19	CAMQDD01	MGYG000304006	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister micraerophilus	SAMEA111388744	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304006/genomes1/MGYG000303896.gff.gz
MGYG000303897	MAG	1472063	103	19909	31.02	88.46	0.7	0.00	0.00	0.00	8	CAMQDG01	MGYG000303897	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_B;s__	SAMEA111388739	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303897/genomes1/MGYG000303897.gff.gz
MGYG000303898	MAG	1757520	25	108331	35.88	94.76	0.24	0.00	0.00	0.00	19	CAMQDS01	MGYG000303898	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	SAMEA111388747	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303898/genomes1/MGYG000303898.gff.gz
MGYG000303899	MAG	1477310	113	19432	28.57	96.65	0.0	0.00	0.00	0.00	13	CAMQEN01	MGYG000303899	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas parva	SAMEA111388726	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303899/genomes1/MGYG000303899.gff.gz
MGYG000303900	MAG	1232848	125	12698	42.5	92.71	0.2	0.00	0.00	0.00	19	CAMQEO01	MGYG000303900	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__	SAMEA111388730	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303900/genomes1/MGYG000303900.gff.gz
MGYG000303901	MAG	847193	186	4806	39.33	58.73	1.45	0.00	0.00	0.00	10	CAMQEQ01	MGYG000304222	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	SAMEA111388723	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304222/genomes1/MGYG000303901.gff.gz
MGYG000303902	MAG	1665077	129	19405	46.26	96.74	0.7	0.00	0.00	0.00	12	CAMQER01	MGYG000304173	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C coxii	SAMEA111388623	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304173/genomes1/MGYG000303902.gff.gz
MGYG000303903	MAG	1643984	28	83567	41.26	100	0.0	0.00	0.00	0.00	20	CAMQES01	MGYG000304136	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale	SAMEA111388733	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304136/genomes1/MGYG000303903.gff.gz
MGYG000303904	MAG	1701255	56	41450	42.62	96.08	0.31	0.00	0.00	0.00	18	CAMQET01	MGYG000304174	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp001552775	SAMEA111388636	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304174/genomes1/MGYG000303904.gff.gz
MGYG000303905	MAG	1626200	45	57763	38.92	97.71	0.0	0.00	0.00	0.00	18	CAMQFA01	MGYG000303995	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii	SAMEA111388627	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303995/genomes1/MGYG000303905.gff.gz
MGYG000303906	MAG	744401	173	4525	35.72	59.65	0.6	0.00	0.00	0.00	8	CAMQFB01	MGYG000304278	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__	SAMEA111388620	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304278/genomes1/MGYG000303906.gff.gz
MGYG000303907	MAG	1615049	38	90618	36.0	96.74	0.0	0.00	0.00	0.00	15	CAMQFC01	MGYG000303907	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Ezakiella;s__Ezakiella coagulans	SAMEA111388619	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303907/genomes1/MGYG000303907.gff.gz
MGYG000303908	MAG	1389791	204	8083	28.97	80.26	3.35	0.00	0.00	0.00	8	CAMQFE01	MGYG000304146	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis_B	SAMEA111388625	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304146/genomes1/MGYG000303908.gff.gz
MGYG000303909	MAG	1208890	70	28448	38.38	64.92	0.0	0.00	0.00	0.00	15	CAMQFL01	MGYG000304030	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Ezakiella;s__Ezakiella massiliensis	SAMEA111388624	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304030/genomes1/MGYG000303909.gff.gz
MGYG000303910	MAG	2289580	53	70792	46.31	99.36	0.48	0.00	0.00	0.00	20	CAMQFR01	MGYG000303910	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Oligella;s__Oligella urethralis	SAMEA111388618	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303910/genomes1/MGYG000303910.gff.gz
MGYG000303911	MAG	3085383	122	48778	42.59	99.29	0.0	0.00	0.00	0.00	18	CAMQFS01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111388629	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000303911.gff.gz
MGYG000303912	MAG	1239459	124	15510	34.47	87.65	0.12	0.00	0.00	0.00	10	CAMQFT01	MGYG000304239	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__Fenollaria massiliensis	SAMEA111388622	ERP138409	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304239/genomes1/MGYG000303912.gff.gz
MGYG000303913	MAG	1284986	8	343987	32.49	99.41	0.44	0.00	0.00	0.00	17	CAMQQL01	MGYG000304057	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SAMEA111428928	ERP139914	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304057/genomes1/MGYG000303913.gff.gz
MGYG000303914	MAG	711798	28	36153	25.24	99.05	0.0	0.00	0.00	0.00	20	CAMQQM01	MGYG000304078	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__Ureaplasma parvum	SAMEA111428927	ERP139914	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304078/genomes1/MGYG000303914.gff.gz
MGYG000303915	MAG	2022299	13	1128618	34.7	99.22	0.0	0.00	0.00	0.00	19	CAMQQW01	MGYG000303915	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri	SAMEA111428929	ERP139914	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303915/genomes1/MGYG000303915.gff.gz
MGYG000303916	MAG	1715878	43	58895	34.2	98.66	0.32	0.00	0.00	0.00	12	CAMQQY01	MGYG000304202	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	SAMEA111428922	ERP139914	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304202/genomes1/MGYG000303916.gff.gz
MGYG000303917	MAG	1312184	20	138012	32.32	99.41	0.44	0.00	0.00	0.00	17	CAMQRM01	MGYG000304057	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SAMEA111428883	ERP138865	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304057/genomes1/MGYG000303917.gff.gz
